wavelength;angle_0;angle_-15;angle_-30;angle_-45;angle_-60;angle_-75;angle_15;angle_30;angle_45;angle_60;angle_75
493;0.000162722;0.000103955;3.43259e-05;1.53727e-05;0.0;0.0;0.000105163;5.42563e-05;1.66511e-05;9.65414e-08;0.0
494;0.000375769;0.000222347;8.59469e-05;2.50069e-05;6.27706e-08;0.0;0.000287379;0.000124571;3.31187e-05;4.18471e-08;0.0
495;0.000800023;0.00052438;0.000183776;5.25276e-05;5.0834e-06;0.0;0.000662102;0.000279052;7.97736e-05;6.21237e-06;1.07219e-07
496;0.0014872;0.000960797;0.000359733;8.98574e-05;4.85947e-06;0.0;0.00117898;0.000511503;0.00013421;1.29677e-05;2.82911e-07
497;0.00247359;0.00160179;0.000603443;0.000162519;1.42696e-05;0.0;0.00196536;0.00086201;0.000230213;2.40486e-05;0.0
498;0.00384225;0.00248945;0.000938375;0.000254397;2.38148e-05;0.0;0.00302587;0.00132491;0.000355213;3.65963e-05;0.0
499;0.00554198;0.00355063;0.00132436;0.00035823;2.56552e-05;6.70752e-06;0.00434662;0.00190967;0.000521852;5.02682e-05;3.59426e-06
500;0.00733386;0.00468522;0.00176009;0.00047666;4.34605e-05;5.41107e-06;0.00575318;0.00253801;0.00069139;6.38562e-05;9.24456e-06
501;0.00889592;0.00568946;0.00214136;0.000576957;5.13825e-05;3.63297e-06;0.00702717;0.00309395;0.000839871;7.95382e-05;7.20933e-06
502;0.0101171;0.00656221;0.00245543;0.0006519;5.83766e-05;4.67406e-06;0.00805092;0.0035552;0.000954874;9.14717e-05;9.45504e-06
503;0.0107228;0.00696738;0.00256765;0.000695769;6.35838e-05;8.85892e-06;0.00863773;0.00378843;0.0010093;0.000100401;1.32684e-05
504;0.0107247;0.00706101;0.00259349;0.000703684;5.52362e-05;7.39005e-06;0.00863186;0.00378689;0.00101229;9.49277e-05;1.19632e-05
505;0.00981935;0.00657953;0.00240384;0.000652669;5.87921e-05;5.06261e-06;0.00803968;0.00352559;0.000923437;9.57736e-05;6.07031e-06
506;0.00860266;0.00571508;0.00208086;0.000574388;5.06669e-05;6.18095e-06;0.0070863;0.00311033;0.000801445;8.60056e-05;7.04274e-06
507;0.00702312;0.00471674;0.00170915;0.000477471;4.71619e-05;4.4336e-06;0.00589719;0.00255928;0.000648979;7.1723e-05;4.70952e-06
508;0.00529528;0.00357924;0.00130133;0.000365587;3.02674e-05;2.35944e-06;0.00450319;0.00196052;0.000489784;5.13151e-05;5.88291e-06
509;0.0036348;0.00251245;0.00087664;0.000267068;2.02057e-05;0.0;0.00314528;0.00135874;0.00032446;3.40312e-05;8.62519e-07
510;0.00222691;0.00159937;0.000540784;0.000168781;9.49098e-06;0.0;0.00198544;0.000860308;0.000208151;1.78167e-05;5.20103e-06
511;0.00126527;0.000905795;0.000303852;9.28413e-05;8.64089e-06;0.0;0.0011261;0.000482589;0.000111186;7.26442e-06;0.0
512;0.000621823;0.000471446;0.000140408;4.37463e-05;4.42679e-06;0.0;0.000585014;0.000237336;5.18115e-05;7.31326e-06;0.0
513;0.000271979;0.000202353;6.48689e-05;1.73366e-05;9.77568e-07;0.0;0.000278726;0.000106773;1.3186e-05;5.48083e-07;0.0
514;8.02068e-05;7.39274e-05;2.44613e-05;1.09992e-05;0.0;0.0;7.75815e-05;3.61537e-05;8.61003e-06;0.0;0.0
515;3.68913e-05;5.07455e-05;6.70354e-06;3.64538e-06;0.0;1.48962e-07;2.69281e-05;1.12602e-05;3.08455e-06;0.0;0.0
516;3.38132e-05;2.76637e-05;2.4461e-06;2.32708e-07;0.0;1.88161e-07;1.1547e-05;1.79139e-05;0.0;0.0;0.0
517;2.76824e-05;5.48758e-06;3.1429e-07;9.97742e-08;0.0;0.0;9.97742e-07;5.98645e-06;0.0;3.1429e-07;0.0
518;2.02132e-05;3.54873e-06;1.4165e-08;0.0;0.0;0.0;2.2081e-05;5.91455e-06;0.0;1.4165e-08;0.0
519;3.68981e-05;7.13298e-06;7.05388e-06;6.96591e-08;0.0;0.0;2.68241e-05;6.96591e-08;0.0;0.0;0.0
520;3.48583e-05;2.20128e-05;8.10766e-06;4.04212e-07;0.0;0.0;1.9707e-05;4.07561e-06;0.0;1.52975e-07;0.0
521;1.73525e-05;9.26523e-06;8.85401e-06;1.67057e-07;0.0;0.0;4.51053e-06;9.12389e-06;2.35594e-07;1.67057e-07;0.0
522;3.81938e-06;7.13855e-06;4.42691e-06;0.0;0.0;0.0;6.32416e-07;1.02812e-05;8.303e-08;0.0;0.0
523;0.0;7.94798e-09;7.94915e-07;0.0;0.0;0.0;1.42138e-05;1.02188e-08;3.94808e-07;0.0;0.0
524;1.44331e-05;2.54638e-05;0.0;8.81678e-07;0.0;0.0;1.10178e-05;3.08636e-07;8.01526e-08;0.0;0.0
525;1.70394e-05;1.69735e-05;1.57493e-07;2.6153e-06;0.0;0.0;2.06548e-05;1.57493e-07;3.8093e-07;1.57493e-07;0.0
526;1.30671e-05;2.04237e-05;1.42093e-07;3.74817e-07;0.0;0.0;1.80841e-05;3.74817e-07;1.42093e-07;1.42093e-07;0.0
527;1.14857e-05;1.19213e-05;3.06642e-07;6.3511e-08;0.0;0.0;1.51564e-05;6.76796e-07;0.0;3.06642e-07;0.0
528;1.44021e-05;1.48875e-05;4.98688e-07;0.0;0.0;3.53104e-07;3.88414e-06;4.85453e-07;3.53104e-07;0.0;0.0
529;5.79027e-06;1.03287e-05;3.12205e-06;0.0;0.0;0.0;8.90579e-08;2.84633e-06;0.0;0.0;0.0
530;3.64003e-06;7.31751e-06;3.01317e-06;0.0;0.0;0.0;6.96788e-07;6.98412e-06;1.65456e-07;0.0;0.0
531;1.08697e-05;2.38156e-05;5.69536e-06;0.0;0.0;0.0;3.70125e-07;5.05837e-06;1.23375e-07;0.0;0.0
